cordic: m = 1	op = 1 vectoring (y->0)
Circular mode vectoring
--------------------------------------------------------
i	x (hex)		y (hex)		z (hex)		delta (hex)	mu
--------------------------------------------------------------------------------
 0	2000		376D		0000		8000		-1
 1	576D		176D		3244		4000		-1
 2	6324		EBB6		4FF0		2000		+1
 3	6836		047F		4043		1000		-1
 4	68C6		F779		4838		0800		+1
 5	694E		FE05		4439		0400		+1
 6	695E		014F		423A		0200		-1
 7	6963		FFAA		433A		0100		+1
 8	6964		007D		42BA		0080		-1
 9	6965		0013		42FA		0040		-1
10	6965		FFDF		431A		0020		+1
11	6965		FFF9		430A		0010		+1
12	6965		0006		4302		0008		-1
13	6965		0000		4306		0004		+1
14	6965		0003		4304		0002		-1
15	6965		0001		4305		0001		-1
	6965		0000		4305
